"Jelölt neve","Nemzetiség","Státusz","OEVK","Állapotváltozás dátuma","Jelölő szervezet neve","Lista típusa"
"SZENTESI SZABOLCS","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"SZENTGYÖRGYI TIBOR VIKTOR","","Nyilvántartásba véve","Bács-Kiskun vármegye, 02. számú egyéni választókerület","2026. március 9.","Független jelölt",""
"SZENTKIRÁLY-BODA LÁSZLÓ","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"SZENTKIRÁLYI ALEXANDRA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"SZENTLÉLEKY KRISZTINA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"SZENTMIKLÓSI TAMÁS LÁSZLÓ","","Nyilvántartásba véve","Pest vármegye, 05. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"SZEPESFALVY ANNA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"SZEPESI GÁBOR ATTILA","","Nyilvántartásba vétel visszautasítva","Hajdú-Bihar vármegye, 03. számú egyéni választókerület","2026. március 12.","Normális Élet Pártja",""
"SZÉPLAKI LILIÁNA","","Nem kíván indulni","Csongrád-Csanád vármegye, 04. számú egyéni választókerület","2026. március 12.","Normális Élet Pártja",""
"SZICK MÓNIKA","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"DR. SZIJJÁRTÓ GÁBOR","","Nyilvántartásba véve","Tolna vármegye, 02. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"DR. SZIJJÁRTÓ GÁBOR","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"SZIJJÁRTÓ PÉTER","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"SZIKLAI PÉTER","","Nyilvántartásba vétel visszautasítva","Budapest főváros, 05. számú egyéni választókerület","2026. március 9.","Nemzetegyesítő Mozgalom a Szentkorona Országaiért",""
"SZILÁGYI JÓZSEF","","Nyilvántartásba véve","Győr-Moson-Sopron vármegye, 03. számú egyéni választókerület","2026. március 9.","Mi Hazánk Mozgalom",""
"SZILÁGYI JÓZSEF","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"SZILÁGYI ZSOLT","","Nyilvántartásba vétel visszautasítva","Budapest főváros, 02. számú egyéni választókerület","2026. március 13.","Jobbik Magyarországért Mozgalom",""
"SZILÁGYI ZSOLT","Szlovák","Nyilvántartásba véve","","2026. március 10.","Országos Szlovák Önkormányzat","Nemzetiségi lista"
"DR. SZILÁK LÁSZLÓ","","Nem kíván indulni","Csongrád-Csanád vármegye, 01. számú egyéni választókerület","2026. március 5.","Nemzetegyesítő Mozgalom a Szentkorona Országaiért",""
"SZILASI GÁBOR","","Nyilvántartásba véve","Zala vármegye, 01. számú egyéni választókerület","2026. február 26.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"SZILASI GÁBOR","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"SZILVÁSY DÁVID","","Nem kíván indulni","Komárom-Esztergom vármegye, 03. számú egyéni választókerület","2026. március 6.","Normális Élet Pártja",""
"SZILVÁSY JÓZSEF","","Nyilvántartásba vétel visszautasítva","Győr-Moson-Sopron vármegye, 01. számú egyéni választókerület","2026. március 9.","Normális Élet Pártja",""
"SZIMON RENÁTA","","Nyilvántartásba véve","Pest vármegye, 11. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"SZIMON RENÁTA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"SZIN RICHÁRD","","Nyilvántartásba véve","Budapest főváros, 15. számú egyéni választókerület","2026. március 6.","Magyar Kétfarkú Kutya Párt",""
"SZIN RICHÁRD","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"DR. SZINTAY ISTVÁN","","Nyilvántartásba véve","Budapest főváros, 01. számú egyéni választókerület","2026. március 7.","Magyar Kétfarkú Kutya Párt",""
"DR. SZINTAY ISTVÁN","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"SZKIBA EVELIN","Ruszin","Nyilvántartásba véve","","2026. március 5.","Országos Ruszin Önkormányzat","Nemzetiségi lista"
"SZKLENÁR TIBOR","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"SZLOBODNIK LÁSZLÓ","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 06. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"SZOLNOKI GÁBOR","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 01. számú egyéni választókerület","2026. március 9.","Magyar Kétfarkú Kutya Párt",""
"SZOLNOKI JÓZSEF","","Nem kíván indulni","Borsod-Abaúj-Zemplén vármegye, 06. számú egyéni választókerület","2026. március 9.","Normális Élet Pártja",""
"SZŐCS ZOLTÁN","","Nem kíván indulni","Borsod-Abaúj-Zemplén vármegye, 03. számú egyéni választókerület","2026. március 2.","Független jelölt",""
"SZŐKE GÉZA","","Nyilvántartásba vétel visszautasítva","Győr-Moson-Sopron vármegye, 04. számú egyéni választókerület","2026. március 12.","Normális Élet Pártja",""
"SZŐKE HEDVIG ERZSÉBET","","Nyilvántartásba vétel visszautasítva","Győr-Moson-Sopron vármegye, 03. számú egyéni választókerület","2026. március 9.","Normális Élet Pártja",""
"DR. SZŐKE MÁTÉ","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"SZŐLLŐSI ÁGNES","","Nyilvántartásba vétel visszautasítva","Borsod-Abaúj-Zemplén vármegye, 04. számú egyéni választókerület","2026. március 13.","Jobbik Magyarországért Mozgalom",""
"SZÖRÉNYI KÁROLY","","Nyilvántartásba véve","Hajdú-Bihar vármegye, 03. számú egyéni választókerület","2026. március 9.","Demokratikus Koalíció",""
"SZÖRÉNYI KÁROLY","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"DR. SZTANKÓ ÉVA","","Nem kíván indulni","Szabolcs-Szatmár-Bereg vármegye, 01. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"SZTOJKA ATTILA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"DR. SZUCSIGÁN LÁSZLÓ","Román","Nyilvántartásba véve","","2026. március 2.","Magyarországi Románok Országos Önkormányzata","Nemzetiségi lista"
"SZUHAI JÁNOS","","Nem kíván indulni","Pest vármegye, 05. számú egyéni választókerület","2026. március 5.","Független jelölt",""
"SZUROMI GABRIELLA","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"SZŰCS CSABA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"SZŰCS DÓRA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"SZŰCS ERIKA","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"SZÜCS GÁBOR","","Nyilvántartásba vétel visszautasítva","Pest vármegye, 02. számú egyéni választókerület","2026. március 13.","Jobbik Magyarországért Mozgalom",""
"SZŰCS GÁBOR","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"SZŰCS JÓZSEF","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"DR. SZŰCS LAJOS","","Nyilvántartásba véve","Pest vármegye, 08. számú egyéni választókerület","2026. február 26.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"DR. SZŰCS LAJOS","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"SZÜCS ZOLTÁN","","Nyilvántartásba véve","Veszprém vármegye, 01. számú egyéni választókerület","2026. március 14.","Magyar Kétfarkú Kutya Párt",""
"SZÜCS ZOLTÁN","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"DR. TÁBORI FERENC","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"DR. TAKÁCS ÁRPÁD","","Nyilvántartásba véve","Békés vármegye, 01. számú egyéni választókerület","2026. február 27.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"DR. TAKÁCS ÁRPÁD","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"TAKÁCS IBRAHIM LÁSZLÓ","","Nem kíván indulni","Borsod-Abaúj-Zemplén vármegye, 07. számú egyéni választókerület","2026. március 5.","Független jelölt",""
"TAKÁCS IMRE FERENC","","Nyilvántartásba véve","Vas vármegye, 03. számú egyéni választókerület","2026. március 1.","Mi Hazánk Mozgalom",""
"TAKÁCS IMRE FERENC","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"TAKÁCS ISTVÁN","","Nyilvántartásba vétel visszautasítva","Pest vármegye, 07. számú egyéni választókerület","2026. március 9.","Középen Állók Pártja",""
"TAKÁCS KATALIN","","Nyilvántartásba vétel visszautasítva","Pest vármegye, 10. számú egyéni választókerület","2026. március 9.","Középen Állók Pártja",""
"TAKÁCS LÁSZLÓ","","Nyilvántartásba véve","Tolna vármegye, 02. számú egyéni választókerület","2026. március 9.","Demokratikus Koalíció",""
"TAKÁCS LÁSZLÓ","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"TAKÁCS MAGDOLNA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"TAKÁCS MELINDA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"TAKÁCS PÉTER","","Nyilvántartásba véve","Veszprém vármegye, 04. számú egyéni választókerület","2026. február 28.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"TAKÁCS PÉTER","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"TAKÁCSNÉ KALINSKA ALICJA KATARZYNA","Lengyel","Nyilvántartásba véve","","2026. március 8.","Országos Lengyel Önkormányzat","Nemzetiségi lista"
"TÁLLAI ANDRÁS","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 07. számú egyéni választókerület","2026. február 24.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"TÁLLAI ANDRÁS","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"DR. TAMASI JÓZSEF","","Nyilvántartásba vétel visszautasítva","Bács-Kiskun vármegye, 04. számú egyéni választókerület","2026. március 12.","Normális Élet Pártja",""
"TANÁCS ZOLTÁN","","Nyilvántartásba véve","Budapest főváros, 01. számú egyéni választókerület","2026. február 24.","Tisztelet és Szabadság Párt",""
"TANÁCS ZOLTÁN","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"TANBERGER TIBOR","","Nyilvántartásba véve","Somogy vármegye, 04. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"TANCSA BALÁZS","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"DR. TAPOLCZAI GERGELY","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"TAR JÓZSEF","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"TÁRKÁNYI ZSOLT","","Nyilvántartásba véve","Hajdú-Bihar vármegye, 01. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"TÁRKÁNYI ZSOLT","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"DR. TARNAI RICHÁRD","","Nyilvántartásba véve","Budapest főváros, 08. számú egyéni választókerület","2026. február 26.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"DR. TARNAI RICHÁRD","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"TARNÓCZI ATTILA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"TARR ERIKA","","Nyilvántartásba vétel visszautasítva","Győr-Moson-Sopron vármegye, 02. számú egyéni választókerület","2026. március 10.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"TARR ZOLTÁN","","Nyilvántartásba véve","Budapest főváros, 16. számú egyéni választókerület","2026. február 26.","Tisztelet és Szabadság Párt",""
"TARR ZOLTÁN","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"TASCHNER TAMÁS","Német","Nyilvántartásba véve","","2026. március 8.","Magyarországi Németek Országos Önkormányzata","Nemzetiségi lista"
"TASÓ LÁSZLÓ","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"TASSI RÓBERT","","Nyilvántartásba véve","Pest vármegye, 09. számú egyéni választókerület","2026. február 28.","Mi Hazánk Mozgalom",""
"TASSI RÓBERT","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"TÁT MARGIT","Román","Nyilvántartásba véve","","2026. március 2.","Magyarországi Románok Országos Önkormányzata","Nemzetiségi lista"
"TAUZERNÉ TANYI MARGIT","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"TERNYÁK ANDRÁS","","Kiesett","Budapest főváros, 08. számú egyéni választókerület","2026. március 24.","Demokratikus Koalíció",""
"TESSELY ZOLTÁN","","Nyilvántartásba véve","Fejér vármegye, 03. számú egyéni választókerület","2026. február 24.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"TESSELY ZOLTÁN","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"THURÓCZY TÍMEA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"DR. THÜRMER GYULA","","Kiesett","","2026. március 13.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt","Közös lista"
"TIBA ISTVÁN","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"DR. TILKI ATTILA","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 04. számú egyéni választókerület","2026. február 24.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"DR. TILKI ATTILA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"TIMÁR REGINA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"DR. TIMÁR TAMÁS","","Nyilvántartásba véve","Csongrád-Csanád vármegye, 01. számú egyéni választókerület","2026. március 6.","Mi Hazánk Mozgalom",""
"DR. TIMÁR TAMÁS","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"TININSZKY GÁBOR","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"TISZA PÉTER","","Kiesett","Somogy vármegye, 01. számú egyéni választókerület","2026. március 17.","Független jelölt",""
"TIVADAR ANASZTÁZIA","Ruszin","Nyilvántartásba véve","","2026. március 5.","Országos Ruszin Önkormányzat","Nemzetiségi lista"
"TOBAK GÁBOR LÁSZLÓ","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"TÓFALVI MÓNIKA","Német","Nyilvántartásba véve","","2026. március 8.","Magyarországi Németek Országos Önkormányzata","Nemzetiségi lista"
"TOMBÁCZ KRISZTINA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"TOMHAUSER FERENC","","Nyilvántartásba véve","Fejér vármegye, 01. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"TOMHAUSER-CZEGLÉDI ESZTER","","Nyilvántartásba véve","Fejér vármegye, 03. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"TOMPA ENIKŐ","","Nyilvántartásba véve","Hajdú-Bihar vármegye, 02. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"TOMPA ENIKŐ","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"TONZOR PÉTER","","Nyilvántartásba véve","Hajdú-Bihar vármegye, 04. számú egyéni választókerület","2026. március 18.","Demokratikus Koalíció",""
"TONZOR PÉTER","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"TORDAI BENCE","","Kiesett","Budapest főváros, 04. számú egyéni választókerület","2026. április 3.","Független jelölt",""
"TOROCZKAI LÁSZLÓ","","Nyilvántartásba véve","Csongrád-Csanád vármegye, 02. számú egyéni választókerület","2026. február 27.","Mi Hazánk Mozgalom",""
"TOROCZKAI LÁSZLÓ","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"TÓTH ÁGNES","","Nem kíván indulni","Szabolcs-Szatmár-Bereg vármegye, 02. számú egyéni választókerület","2026. március 6.","Középen Állók Pártja",""
"TÓTH ANDREA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"TÓTH ÁRON","Roma","Nyilvántartásba véve","","2026. március 2.","Magyarországi Romák Országos Önkormányzata","Nemzetiségi lista"
"TÓTH ATTILA","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"TÓTH BALÁZS","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"TÓTH EDINA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"TÓTH ISTVÁN","","Nem kíván indulni","Jász-Nagykun-Szolnok vármegye, 04. számú egyéni választókerület","2026. március 4.","Nemzetegyesítő Mozgalom a Szentkorona Országaiért",""
"TÓTH KÁLMÁN","","Nyilvántartásba véve","Budapest főváros, 11. számú egyéni választókerület","2026. március 2.","Magyar Kétfarkú Kutya Párt",""
"TÓTH KÁLMÁN","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"TÓTH LÁSZLÓ GÁBOR","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"TÓTH NIKOLASZ","","Nem kíván indulni","Fejér vármegye, 03. számú egyéni választókerület","2026. március 7.","Normális Élet Pártja",""
"TÓTH NORBERT","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"TÓTH PÉTER PÁL","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 03. számú egyéni választókerület","2026. március 5.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"TÓTH RÉKA KAMILLA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"TÓTH TAMARA","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 06. számú egyéni választókerület","2026. március 13.","Magyar Kétfarkú Kutya Párt",""
"TÓTH TAMÁS","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"TÓTH TIBOR","","Nyilvántartásba vétel visszautasítva","Nógrád vármegye, 01. számú egyéni választókerület","2026. március 13.","Jobbik Magyarországért Mozgalom",""
"TÓTH ZSOLT","","Nem kíván indulni","Fejér vármegye, 04. számú egyéni választókerület","2026. március 7.","Középen Állók Pártja",""
"TÓTH ZSOLT BENEDEK","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"TÓTH-BEERI SZILVIA","","Nyilvántartásba véve","Hajdú-Bihar vármegye, 02. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"TÓTH-BENEDEK CSANÁD","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"TÓTH-SZŐLLŐSI ZSÓFIA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"TÓTHMAJOR BALÁZS","","Nyilvántartásba véve","Pest vármegye, 04. számú egyéni választókerület","2026. február 26.","Tisztelet és Szabadság Párt",""
"TÓTHMAJOR BALÁZS","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"TÓTHNÉ PÁL ILDIKÓ","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"TÓTHNÉ SZEGEDI IWONA JOLÁN","Lengyel","Nyilvántartásba véve","","2026. március 8.","Országos Lengyel Önkormányzat","Nemzetiségi lista"
"TÓZER JÁNOS","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"TÖLGYESI TIBOR","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"TÖMÖR-TONES ZSOLT","","Nem kíván indulni","Budapest főváros, 15. számú egyéni választókerület","2026. március 6.","Jobbik Magyarországért Mozgalom",""
"TÖRŐ ANDRÁS","","Nyilvántartásba vétel visszautasítva","Baranya vármegye, 03. számú egyéni választókerület","2026. március 12.","Magyar Kétfarkú Kutya Párt",""
"TÖRŐ GÁBOR","","Nyilvántartásba véve","Fejér vármegye, 02. számú egyéni választókerület","2026. február 27.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"TÖRŐ GÁBOR","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"TRENTIN BALÁZS","","Nyilvántartásba véve","Budapest főváros, 07. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"TRENTIN BALÁZS","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"TROMPLER ILDIKÓ","","Nyilvántartásba véve","Pest vármegye, 07. számú egyéni választókerület","2026. február 28.","Tisztelet és Szabadság Párt",""
"TROMPLER ILDIKÓ","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"DR. TROSITS BERNADETT","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"TULIPÁN JÓZSEF","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"TURNAI CSABA","","Nem kíván indulni","Pest vármegye, 04. számú egyéni választókerület","2026. március 16.","Független jelölt",""
"TURÓ JENŐ","","Nyilvántartásba véve","Jász-Nagykun-Szolnok vármegye, 03. számú egyéni választókerület","2026. március 8.","Független jelölt",""
"TÚRÓ RICHÁRD","","Nyilvántartásba véve","Jász-Nagykun-Szolnok vármegye, 03. számú egyéni választókerület","2026. március 8.","Független jelölt",""
"TURÓCZI GYÖRGY","","Nem kíván indulni","Jász-Nagykun-Szolnok vármegye, 02. számú egyéni választókerület","2026. március 6.","Jobbik Magyarországért Mozgalom",""
"TUZSON BENCE","","Nyilvántartásba véve","Pest vármegye, 05. számú egyéni választókerület","2026. február 26.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"TUZSON BENCE","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"TÜKÖR DÁVID","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"TÜRK ATTILA","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 01. számú egyéni választókerület","2026. március 13.","Magyar Kétfarkú Kutya Párt",""
"TÜRK ATTILA","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"UJVÁRI SZILVIA","","Nyilvántartásba véve","Veszprém vármegye, 04. számú egyéni választókerület","2026. február 28.","Tisztelet és Szabadság Párt",""
"UJVÁRI SZILVIA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"URBÁN DÁVID KILIÁN","","Nyilvántartásba véve","Pest vármegye, 11. számú egyéni választókerület","2026. március 7.","Magyar Kétfarkú Kutya Párt",""
"URBÁN DÁVID KILIÁN","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"URBÁN IMRE","","Nyilvántartásba véve","Jász-Nagykun-Szolnok vármegye, 02. számú egyéni választókerület","2026. március 9.","Demokratikus Koalíció",""
"URBÁNSZKI LÁSZLÓ","","Nem kíván indulni","Borsod-Abaúj-Zemplén vármegye, 04. számú egyéni választókerület","2026. március 7.","Független jelölt",""
"URBIN GYÖRGY","","Nyilvántartásba véve","Pest vármegye, 13. számú egyéni választókerület","2026. március 4.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"URBIN GYÖRGY","","Kiesett","","2026. március 13.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt","Közös lista"
"URI DÁNIEL","","Nyilvántartásba vétel visszautasítva","Hajdú-Bihar vármegye, 06. számú egyéni választókerület","2026. március 18.","Jobbik Magyarországért Mozgalom",""
"DR. URSZÁN TAMÁS","","Nyilvántartásba véve","Pest vármegye, 12. számú egyéni választókerület","2026. március 9.","Magyar Kétfarkú Kutya Párt",""
"DR. URSZÁN TAMÁS","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"ÜRMÖS HENRIETTA","","Nyilvántartásba vétel visszautasítva","Hajdú-Bihar vármegye, 06. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"V.NÉMETH ZSOLT","","Nyilvántartásba véve","Vas vármegye, 03. számú egyéni választókerület","2026. február 27.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"V.NÉMETH ZSOLT","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
